"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","testUpdateMembership_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","70","testFindTrainingRoomById_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryFindITCase",""
"","85","testCreateTraining_DuplicateId","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryCreateITCase",""
"","747","testLogin_InvalidPassword","","","passed","","","IntegrationTests","IntegrationTests.AuthServiceITCase",""
"","413","testRegister_Success","","","passed","","","IntegrationTests","IntegrationTests.AuthServiceITCase",""
"","82","testCreateMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipRepositoryCreateITCase",""
"","67","testFindUserById_NotFound","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryFindITCase",""
"","91","testDeleteTrainingRoom_NotFound","","","passed","","","UnitTests","UnitTests.TrainingRoomRepositoryTests",""
"","176","testCreate_Success","","","passed","","","UnitTests","UnitTests.AttendanceServiceTests",""
"","71","testCreateMembershipType_DuplicateId","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryCreateITCase",""
"","36","testUpdate_Success","","","passed","","","UnitTests","UnitTests.AttendanceServiceTests",""
"","114","testDeleteTrainer_Success","","","passed","","","UnitTests","UnitTests.TrainerRepositoryTests",""
"","38","testCreateMembership_Success","","","passed","","","UnitTests","UnitTests.MembershipServiceTests",""
"","74","testDeleteTrainingRoom_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryDeleteITCase",""
"","84","testUpdateTraining_TrainingNotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryUpdateITCase",""
"","70","testCreateTrainingRoom_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRoomRepositoryCreateITCase",""
"","45","testCreateMembership_InvalidMembershipTypeId","","","passed","","","UnitTests","UnitTests.MembershipServiceTests",""
"","756","testUpdateUser_Success","","","passed","","","IntegrationTests","IntegrationTests.UserServiceITCase",""
"","186","testDeleteAttendance_NotFound","","","passed","","","UnitTests","UnitTests.AttendanceRepositoryTests",""
