"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","34","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testDeleteRoom_Success",""
"passed","","","34","","UnitTests","","UnitTests.AttendanceServiceTests","","testDelete_Fails_WhenNotFound",""
"passed","","","73","","IntegrationTests","","IntegrationTests.TrainingRoomServiceITCase","","testCreateRoom_Success",""
"passed","","","71","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryFindITCase","","testFindTrainingRoomByName_NotFound",""
"passed","","","82","","IntegrationTests","","IntegrationTests.AttendanceRepositoryFindITCase","","testFindAttendanceById_NotFound",""
"passed","","","105","","UnitTests","","UnitTests.TrainingRoomRepositoryTests","","testUpdateTrainingRoom_Success",""
"passed","","","70","","IntegrationTests","","IntegrationTests.UserRepositoryDeleteITCase","","testDeleteUser_NotFound",""
"passed","","","756","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testCreateUser_Success",""
"passed","","","28","","UnitTests","","UnitTests.UserServiceTests","","testCreateUser_Success",""
"passed","","","87","","IntegrationTests","","IntegrationTests.TrainingRepositoryFindITCase","","testFindTrainingByTrainerId_Success",""
"passed","","","90","","IntegrationTests","","IntegrationTests.MembershipRepositoryUpdateITCase","","testUpdateMembership_Success",""
"passed","","","35","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testDeleteRoom_NotFound",""
"passed","","","73","","IntegrationTests","","IntegrationTests.TrainerRepositoryDeleteITCase","","testDeleteTrainer_NotFound",""
"passed","","","98","","UnitTests","","UnitTests.UserRepositoryTests","","testDeleteUser_Success",""
"passed","","","25","","UnitTests","","UnitTests.UserServiceTests","","testCreateUser_EmailAlreadyExists",""
"passed","","","73","","IntegrationTests","","IntegrationTests.UserRepositoryCreateITCase","","testCreateUser_DuplicateId",""
"passed","","","88","","IntegrationTests","","IntegrationTests.TrainingRepositoryDeleteITCase","","testDeleteTraining_Success",""
"passed","","","41","","UnitTests","","UnitTests.TrainingServiceTests","","testUpdateTraining_InvalidDate",""
"passed","","","75","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testDeleteUser_Success",""
"passed","","","86","","IntegrationTests","","IntegrationTests.MembershipRepositoryCreateITCase","","testCreateMembership_Success",""
"passed","","","68","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryDeleteITCase","","testDeleteMembershipType_NotFound",""
"passed","","","120","","UnitTests","","UnitTests.TrainingRepositoryTests","","testDeleteTraining_NotFound",""
"passed","","","42","","UnitTests","","UnitTests.TrainingServiceTests","","testCreateTraining_Success",""
"passed","","","29","","UnitTests","","UnitTests.AttendanceServiceTests","","testUpdate_NotFound",""
"passed","","","90","","IntegrationTests","","IntegrationTests.TrainingServiceITCase","","testDeleteTraining_Success",""
"passed","","","86","","IntegrationTests","","IntegrationTests.MembershipServiceITCase","","testCreateMembership_Success",""
"passed","","","80","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryUpdateITCase","","testUpdateTrainingRoom_Success",""
"passed","","","28","","UnitTests","","UnitTests.MembershipServiceTests","","testCreateMembership_InvalidMembershipTypeId",""
"passed","","","98","","UnitTests","","UnitTests.AttendanceRepositoryTests","","testDeleteAttendance_Success",""
"passed","","","71","","IntegrationTests","","IntegrationTests.UserRepositoryFindITCase","","testFindUserById_Success",""
"passed","","","77","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryUpdateITCase","","testUpdateTrainingRoom_DublicateName",""
"passed","","","135","","UnitTests","","UnitTests.MembershipTypeRepositoryTests","","testUpdateMembershipType_Success",""
"passed","","","147","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testUpdateRoom_NotFound",""
"passed","","","121","","UnitTests","","UnitTests.TrainingRepositoryTests","","testUpdateTraining_Success",""
"passed","","","38","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testDelete_NotFound_Throws",""
"passed","","","144","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testUpdateRoom_Success",""
"passed","","","87","","IntegrationTests","","IntegrationTests.TrainingServiceITCase","","testCreateTraining_Success",""
"passed","","","102","","UnitTests","","UnitTests.AuthServiceTests","","testLogin_UserNotFound",""
"passed","","","748","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testLogin_InvalidPassword",""
"passed","","","31","","UnitTests","","UnitTests.TrainerServiceTests","","testCreateTrainer_Success",""
"passed","","","90","","IntegrationTests","","IntegrationTests.MembershipServiceITCase","","testUpdateMembership_Success",""
"passed","","","29","","UnitTests","","UnitTests.TrainingServiceTests","","testUpdateTraining_NotFound",""
"passed","","","105","","UnitTests","","UnitTests.TrainingRepositoryTests","","testUpdateTraining_NotFound",""
"passed","","","74","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryUpdateITCase","","testUpdateMembershipType_Success",""
"passed","","","99","","UnitTests","","UnitTests.MembershipTypeRepositoryTests","","testUpdateMembershipType_NotFound",""
"passed","","","40","","UnitTests","","UnitTests.AuthServiceTests","","testLogin_SuccessByEmail",""
"passed","","","97","","UnitTests","","UnitTests.MembershipRepositoryTests","","testDeleteMembership_NotFound",""
"passed","","","82","","IntegrationTests","","IntegrationTests.AttendanceRepositoryDeleteITCase","","testDeleteAttendance_NotFound",""
"passed","","","90","","UnitTests","","UnitTests.TrainerRepositoryTests","","testUpdateTrainer_NotFound",""
"passed","","","71","","IntegrationTests","","IntegrationTests.UserRepositoryFindITCase","","testFindUserByPhone_Success",""
"passed","","","120","","UnitTests","","UnitTests.TrainingRepositoryTests","","testDeleteTraining_Success",""
"passed","","","29","","UnitTests","","UnitTests.UserServiceTests","","testCreateUser_PhoneNumberAlreadyExists",""
"passed","","","111","","UnitTests","","UnitTests.TrainerRepositoryTests","","testDeleteTrainer_Success",""
"passed","","","105","","IntegrationTests","","IntegrationTests.AttendanceServiceITCase","","testDelete_Success",""
"passed","","","80","","IntegrationTests","","IntegrationTests.MembershipServiceITCase","","testCreateMembership_InvalidMembershipTypeId",""
"passed","","","22","","UnitTests","","UnitTests.MembershipServiceTests","","testDeleteMembership_Success",""
"passed","","","95","","UnitTests","","UnitTests.AttendanceServiceTests","","testCreate_DuplicateExists",""
"passed","","","75","","IntegrationTests","","IntegrationTests.MembershipServiceITCase","","testUpdateMembership_NotFound",""
"passed","","","76","","IntegrationTests","","IntegrationTests.TrainingRepositoryFindITCase","","testFindTrainingByRoomId_NotFound",""
"passed","","","67","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testDelete_NotFound_Throws",""
"passed","","","90","","IntegrationTests","","IntegrationTests.TrainingServiceITCase","","testUpdateTraining_Success",""
"passed","","","89","","IntegrationTests","","IntegrationTests.TrainingRepositoryUpdateITCase","","testUpdateTraining_Success",""
"passed","","","77","","IntegrationTests","","IntegrationTests.TrainingRepositoryFindITCase","","testFindTrainingById_NotFound",""
"passed","","","76","","IntegrationTests","","IntegrationTests.TrainingRepositoryDeleteITCase","","testDeleteTraining_NotFound",""
"passed","","","72","","IntegrationTests","","IntegrationTests.UserRepositoryCreateITCase","","testCreateUser_DuplicateEmail",""
"passed","","","72","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testCreateMembershipType_NameAlreadyExists",""
"passed","","","65","","UnitTests","","UnitTests.TrainingServiceTests","","testUpdateTraining_Success",""
"passed","","","1612","","E2ETests","","E2ETests.DemoE2ETests","","test",""
"passed","","","73","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryCreateITCase","","testCreateTrainingRoom_Success",""
"passed","","","71","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testCreateUser_EmailAlreadyExists",""
"passed","","","21","","UnitTests","","UnitTests.AttendanceServiceTests","","testUpdate_InvalidMembershipTrainingUnique",""
"passed","","","101","","IntegrationTests","","IntegrationTests.AttendanceRepositoryFindITCase","","testFindAttendanceById_Success",""
"passed","","","123","","UnitTests","","UnitTests.AttendanceServiceTests","","testUpdate_Success",""
"passed","","","85","","UnitTests","","UnitTests.TrainingRoomRepositoryTests","","testUpdateTrainingRoom_NotFound",""
"passed","","","96","","UnitTests","","UnitTests.AttendanceRepositoryTests","","testUpdateAttendance_Success",""
"passed","","","23","","UnitTests","","UnitTests.UserServiceTests","","testUpdateUser_PhoneNumberAlreadyExists",""
"passed","","","73","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testCreateUser_PhoneNumberAlreadyExists",""
"passed","","","30","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testCreateRoom_Success",""
"passed","","","96","","UnitTests","","UnitTests.MembershipRepositoryTests","","testDeleteMembership_Success",""
"passed","","","25","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testCreateRoom_NameAlreadyExists",""
"passed","","","99","","IntegrationTests","","IntegrationTests.AttendanceRepositoryCreateITCase","","testCreateMembership_DuplicateId",""
"passed","","","75","","IntegrationTests","","IntegrationTests.UserRepositoryUpdateITCase","","testUpdateUser_DuplicatePhone",""
"passed","","","77","","IntegrationTests","","IntegrationTests.TrainerRepositoryFindITCase","","testFindTrainerByUserId_Success",""
"passed","","","97","","UnitTests","","UnitTests.AttendanceRepositoryTests","","testUpdateAttendance_NotFound",""
